review_id,error_related,sentiment,size,app_id,Total_error_related
1195,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1190,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1185,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1184,0,0,47,com.aonesoft.FinaleOfThrone.vietnam,2
1183,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1182,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1181,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1176,1,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1175,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1171,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1169,0,1,47,com.aonesoft.FinaleOfThrone.vietnam,2
1168,1,0,47,com.aonesoft.FinaleOfThrone.vietnam,2
1167,0,0,47,com.aonesoft.FinaleOfThrone.vietnam,2
1166,0,0,47,com.aonesoft.FinaleOfThrone.vietnam,2
1165,0,0,47,com.aonesoft.FinaleOfThrone.vietnam,2
3047,0,0,48,com.gamingbirds.deerhunter,0
3046,0,1,48,com.gamingbirds.deerhunter,0
3045,0,1,48,com.gamingbirds.deerhunter,0
3044,0,1,48,com.gamingbirds.deerhunter,0
3043,0,1,48,com.gamingbirds.deerhunter,0
3042,0,1,48,com.gamingbirds.deerhunter,0
3041,0,1,48,com.gamingbirds.deerhunter,0
3040,0,1,48,com.gamingbirds.deerhunter,0
3039,0,1,48,com.gamingbirds.deerhunter,0
3038,0,1,48,com.gamingbirds.deerhunter,0
3037,0,1,48,com.gamingbirds.deerhunter,0
3036,0,1,48,com.gamingbirds.deerhunter,0
3035,0,1,48,com.gamingbirds.deerhunter,0
3034,0,1,48,com.gamingbirds.deerhunter,0
3033,0,1,48,com.gamingbirds.deerhunter,0
2311,0,1,48,com.appos.dev.huntingjungleanimals,1
2310,0,1,48,com.appos.dev.huntingjungleanimals,1
2309,0,1,48,com.appos.dev.huntingjungleanimals,1
2308,0,1,48,com.appos.dev.huntingjungleanimals,1
2307,0,1,48,com.appos.dev.huntingjungleanimals,1
2306,0,0,48,com.appos.dev.huntingjungleanimals,1
2303,0,1,48,com.appos.dev.huntingjungleanimals,1
2302,0,0,48,com.appos.dev.huntingjungleanimals,1
2301,0,1,48,com.appos.dev.huntingjungleanimals,1
2300,0,1,48,com.appos.dev.huntingjungleanimals,1
2299,0,1,48,com.appos.dev.huntingjungleanimals,1
2298,0,1,48,com.appos.dev.huntingjungleanimals,1
2297,0,1,48,com.appos.dev.huntingjungleanimals,1
2296,0,1,48,com.appos.dev.huntingjungleanimals,1
2295,0,1,48,com.appos.dev.huntingjungleanimals,1
2294,0,1,48,com.appos.dev.huntingjungleanimals,1
2293,0,1,48,com.appos.dev.huntingjungleanimals,1
2292,0,1,48,com.appos.dev.huntingjungleanimals,1
2291,0,1,48,com.appos.dev.huntingjungleanimals,1
2290,0,1,48,com.appos.dev.huntingjungleanimals,1
2289,0,1,48,com.appos.dev.huntingjungleanimals,1
2288,0,1,48,com.appos.dev.huntingjungleanimals,1
2287,0,1,48,com.appos.dev.huntingjungleanimals,1
2286,0,1,48,com.appos.dev.huntingjungleanimals,1
2285,0,1,48,com.appos.dev.huntingjungleanimals,1
2284,1,0,48,com.appos.dev.huntingjungleanimals,1
2243,0,0,48,com.bfg.dino.sniper.shooter,0
2242,0,0,48,com.bfg.dino.sniper.shooter,0
1134,0,1,48,com.studioonmars.csportable_space.rent,1
1133,0,1,48,com.studioonmars.csportable_space.rent,1
1132,0,1,48,com.studioonmars.csportable_space.rent,1
1131,0,1,48,com.studioonmars.csportable_space.rent,1
1130,0,1,48,com.studioonmars.csportable_space.rent,1
1129,0,1,48,com.studioonmars.csportable_space.rent,1
1128,0,1,48,com.studioonmars.csportable_space.rent,1
1127,0,0,48,com.studioonmars.csportable_space.rent,1
1126,0,1,48,com.studioonmars.csportable_space.rent,1
1125,0,1,48,com.studioonmars.csportable_space.rent,1
1124,0,1,48,com.studioonmars.csportable_space.rent,1
1123,0,1,48,com.studioonmars.csportable_space.rent,1
1122,0,1,48,com.studioonmars.csportable_space.rent,1
1121,0,1,48,com.studioonmars.csportable_space.rent,1
1120,0,0,48,com.studioonmars.csportable_space.rent,1
1119,1,1,48,com.studioonmars.csportable_space.rent,1
1118,0,0,48,com.studioonmars.csportable_space.rent,1
1117,0,1,48,com.studioonmars.csportable_space.rent,1
1116,0,0,48,com.studioonmars.csportable_space.rent,1
1115,0,1,48,com.studioonmars.csportable_space.rent,1
1114,0,0,48,com.studioonmars.csportable_space.rent,1
1113,0,0,48,com.studioonmars.csportable_space.rent,1
1112,0,1,48,com.studioonmars.csportable_space.rent,1
1111,0,0,48,com.studioonmars.csportable_space.rent,1
639,0,1,48,com.freegamesstudio.copsvsrobbersjailbreak,0
638,0,0,48,com.freegamesstudio.copsvsrobbersjailbreak,0
637,0,1,48,com.freegamesstudio.copsvsrobbersjailbreak,0
636,0,0,48,com.freegamesstudio.copsvsrobbersjailbreak,0
3095,0,0,49,com.ng.f18.f16.dogfight.air.battle,0
3094,0,0,49,com.ng.f18.f16.dogfight.air.battle,0
3093,0,0,49,com.ng.f18.f16.dogfight.air.battle,0
3092,0,0,49,com.ng.f18.f16.dogfight.air.battle,0
2983,0,0,49,com.ng.threed.sniper.heroes.assasin,0
2982,0,0,49,com.ng.threed.sniper.heroes.assasin,0
2981,0,1,49,com.ng.threed.sniper.heroes.assasin,0
2980,0,1,49,com.ng.threed.sniper.heroes.assasin,0
2979,0,0,49,com.ng.threed.sniper.heroes.assasin,0
2978,0,1,49,com.ng.threed.sniper.heroes.assasin,0
2977,0,1,49,com.ng.threed.sniper.heroes.assasin,0
2976,0,1,49,com.ng.threed.sniper.heroes.assasin,0
2509,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2508,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2507,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2506,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2505,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2504,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2503,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2502,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2501,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2500,0,1,49,com.bosphorus.safari.hunting.challenge.jungle.shooting3d,0
2350,0,1,49,com.ptgs.realjaguarcubsimulator,0
